"Row Labels","DATA COMMU & COMP NETWORK","DATA STRUCTURE & ALGORITHM","DISCRETE MATH & APPLICATION","ENGLISH I","ENGLISH II","OBJECT-ORIENTED PROGRAM","SYSTEM ANALYSIS & DESIGN","WEB PROGRAMMING","GPA","CLASS"
"5606021630110","1","0","2.5","2.5","3","1","3","1","2.02","C"
"5706021633151","2","3","3.5","2.5","4","1","3","1.5","2.53","B"
"5806021613019","1","2.5","2.5","3","2.5","1.5","0","1.5","2.48","B"
"5806021623111","1","0","2","2.5","2","1","2","1","2.02","C"
"5806021630061","1","3.5","2","1.5","1","1.5","2","2.5","2.02","C"
"5806021631050","1","2.5","2","2","1.5","1.5","2.5","1.5","2.07","C"
"5806021631114","1.5","2","1","2","1.5","1","1.5","1.5","2.01","C"
"5906021610132","1","1.5","2.5","1.5","2","1","1.5","4","2.15","C"
"5906021611015","1","2.5","2.5","2","1.5","1","2.5","1.5","2.19","C"
"5906021611139","1","1","3","1","1","1.5","1.5","1.5","2.36","B"
"5906021611147","1.5","2","3.5","3","2.5","2","3","4","2.65","A"
"5906021612046","1","1","1.5","2","1.5","1","2","2","2.28","B"
"5906021612127","2","2.5","2.5","2","2","1","2.5","2","2.47","B"
"5906021612135","1","1.5","3","2","2","1.5","2.5","1.5","2.25","B"
"5906021612151","1.5","1","2","1.5","1","1","1.5","1","2.03","C"
"5906021613034","1","1","3","2","1.5","2","3.5","2","2.5","B"
"5906021613093","1","3.5","2.5","2","2","2","2.5","1","2.21","C"
"5906021613115","2","2","3.5","4","3","2","2.5","1.5","2.83","A"
"5906021620081","1","1","2","1.5","2","1","1","1","2.31","B"
"5906021620090","0","-1","1","1","1.5","0","2","1","2.08","C"
"5906021621011","0","1.5","2.5","1.5","1","1","2.5","1","2.25","C"
"5906021621037","0","1","2.5","1.5","1","1","2.5","3","2.11","C"
"5906021621088","-1","0","2.5","2","1","0","3.5","2","2.34","C"
"5906021622017","1","1.5","2","1.5","1","1.5","2.5","1","2.07","C"
"5906021622033","1","3.5","2.5","2","2","2","3.5","3.5","2.4","B"
"5906021622068","1.5","2.5","1.5","1.5","1.5","1.5","1.5","4","2.34","B"
"5906021623013","1","0","2","1.5","1.5","1.5","3","1","2.28","C"
"5906021623021","0","0","2","1.5","1.5","1","3","3.5","2.13","C"
"5906021630036","1","1.5","2","3","2.5","1","2","2.5","2.16","C"
"5906021630087","1","2","3","2","1","1","1.5","3.5","2.01","C"
"5906021632047","0","1","2","2","1.5","0","2.5","3.5","2.05","C"
"5906021632071","1","1.5","2.5","1","1.5","2","2","3","2.21","C"
"5906021633094","1.5","0","2","1.5","2","1.5","3","3","2.33","B"
"6006021610015","3","2","2.5","3","3","1.5","4","1.5","2.85","A"
"6006021610040","2","2.5","2.5","3","2.5","2.5","2.5","4","2.88","A"
"6006021610091","2","2","2","1.5","1","1","1.5","3.5","2.04","C"
"6006021610121","4","3","4","2","1","3","4","4","3.47","A"
"6006021610139","1.5","1","2","2","1","2","3","4","2.23","C"
"6006021610201","1.5","1.5","2","2","1","1","1.5","2","2","C"
"6006021611020","1.5","-1","2","2","1","2","-1","2.5","2.03","C"
"6006021611038","1","-1","1","3","2","1","2.5","4","2.66","C"
"6006021611062","1","1","1.5","1.5","1","1.5","3.5","1","2.15","C"
"6006021611071","1","2.5","2.5","3.5","2.5","1","3.5","1.5","2.55","B"
"6006021611101","3.5","3.5","3","2","2","2","3.5","4","3.13","A"
"6006021611127","-1","2.5","2","1","2.5","1.5","2.5","2.5","2.24","B"
"6006021611178","2","-1","2.5","1.5","1","1","2.5","1.5","2.07","C"
"6006021611216","2","3.5","2","2","2","1","3.5","4","2.72","A"
"6006021612026","3","3","2.5","2","2","1.5","3","4","2.94","A"
"6006021612042","1.5","-1","2","2","2.5","1","3","2.5","2.54","B"
"6006021612093","2.5","2.5","2","2","2","2.5","3.5","2.5","2.53","B"
"6006021612140","2","2.5","2","3.5","2","1.5","3","1","2.53","B"
"6006021612158","2","2.5","2.5","2","2","2.5","2.5","4","2.82","A"
"6006021612166","3.5","2","2.5","3.5","2.5","2","2","4","2.82","A"
"6006021612204","2.5","2.5","2","2","1","1.5","3","3.5","2.75","A"
"6006021613014","1","2.5","1.5","3","2","2.5","3","4","2.23","C"
"6006021613022","1.5","2.5","2.5","3","2.5","1.5","4","4","2.97","A"
"6006021613031","1","1.5","1.5","2","1","1","2.5","1","2.26","C"
"6006021613073","1","3.5","2","2.5","2.5","2.5","2","4","2.55","B"
"6006021613081","1.5","0","-1","1","1.5","1","1","3.5","2.21","C"
"6006021613090","0","0","1.5","2","2","1","2","1","2.33","C"
"6006021613103","3","3","3.5","4","4","3","4","4","3.48","B"
"6006021613111","1.5","2.5","2","2.5","2.5","1","2","1","2.09","C"
"6006021613154","0","1","2.5","3.5","2","1","1.5","1","2.01","C"
"6006021613189","3","3","2.5","2.5","2.5","2.5","4","4","3.32","A"
"6006021620011","2.5","3","2","2","1","1","2.5","2","2.33","B"
"6006021620029","1","1.5","2","2","1","1","4","2","2.27","C"
"6006021620037","1","1","1","2","2","1","2","1","2.31","C"
"6006021620045","2","1","1","2","1","1","2","3","2.12","C"
"6006021620053","3","3","2.5","2.5","2","2","3","4","2.69","B"
"6006021620061","1.5","1","1.5","2.5","1.5","1.5","3","4","2.44","B"
"6006021621017","1.5","3.5","2.5","2.5","1.5","2","3.5","4","3.13","A"
"6006021621033","1.5","2","3","2","2.5","2.5","3.5","4","3.08","A"
"6006021621050","2.5","2","2.5","2","1","1","3.5","3","2.62","A"
"6006021621068","1.5","2","2.5","3","2.5","2","4","3","3.02","A"
"6006021622013","2","4","2","4","3","2","3","2","2.77","A"
"6006021622021","3","3.5","3","1","1.5","2.5","4","4","3.22","A"
"6006021622048","2.5","2.5","1.5","1.5","1","1","2","3","2.12","C"
"6006021622056","-1","-1","2","2","1","-1","2.5","-1","2.19","C"
"6006021623028","2.5","3","2","2.5","2","1","2.5","2.5","2.56","B"
"6006021623036","1.5","1.5","1.5","1.5","2","1","3","2","2.44","C"
"6006021623052","1","1","2","3","2","2.5","1.5","1","2.54","B"
"6006021623061","1.5","2","2","2.5","2.5","1","1","1","2.4","B"
"6006021623079","1","2","1.5","1.5","1","2","2.5","4","2.67","A"
"6006021623087","1","2.5","2","3.5","2.5","1.5","4","3.5","2.57","B"
"6006021630016","2.5","3","3","4","4","1.5","4","3","3.23","A"
"6006021630032","2.5","3","2","2","2","1","3.5","1.5","2.31","C"
"6006021632019","1","-1","2","1","2","0","2.5","1","2","C"
"6006021633015","3","1.5","2","3","2","1.5","3.5","2","2.69","A"
"6006021633023","3","2","1.5","2.5","1.5","1.5","1","4","2.33","C"
"6106021610014","1","2","2","3","3","1","1","3","2.47","B"
"6106021610049","3","3","2","2","2","1.5","3","4","2.83","A"
"6106021610057","1","2","2","3","3","0","3.5","2.5","2.33","C"
"6106021610065","-1","1","3","2","1.5","1","2.5","1","2.27","C"
"6106021610081","2","1.5","2","2","2","2.5","3","2.5","2.46","B"
"6106021610103","2","-1","3","3.5","3","1.5","3","1","2.81","C"
"6106021610111","2.5","2.5","3","2","2.5","2","3","4","2.56","B"
"6106021610120","4","4","4","3.5","4","4","4","4","3.87","A"
"6106021610138","2","2.5","3","2.5","3","1","3","2","2.6","A"
"6106021610146","-1","2","3","3","2.5","-1","2","2.5","2.76","C"
"6106021610154","2","1","3.5","3.5","2","1.5","2","1","2.35","C"
"6106021610171","1","1.5","2.5","2.5","3.5","1","2","1","2.22","C"
"6106021610189","3","3.5","3","4","4","2.5","2.5","1.5","2.94","A"
"6106021610197","-1","-1","3","2","1","-1","1","-1","2.02","C"
"6106021611011","1.5","1","1.5","1.5","2","1.5","0","2","2.05","C"
"6106021611029","3","4","4","2.5","3","4","4","4","3.53","A"
"6106021611037","3","3.5","3.5","2.5","2.5","3","2.5","4","2.87","A"
"6106021611045","2.5","4","4","3","3","3","3","4","3.12","A"
"6106021611061","1.5","2","3","2","2.5","2","3","1","2.5","B"
"6106021611070","-1","-1","2","2.5","-1","-1","0","1.5","2.17","C"
"6106021611088","0","2.5","2","2.5","3","1.5","1","3.5","2.36","C"
"6106021611142","2.5","3","3","2.5","3.5","3","4","4","3.08","A"
"6106021611151","-1","-1","-1","1.5","2.5","-1","1","-1","2.03","C"
"6106021611169","3","2.5","3.5","2","2.5","2.5","3.5","4","2.95","A"
"6106021611185","-1","-1","2","2","2.5","-1","2.5","1","2.15","C"
"6106021611193","3","2.5","2","3","3","2","2.5","1.5","2.41","B"
"6106021611207","2","0","2","1.5","2.5","1.5","1.5","1.5","2.06","C"
